time,cpu@tsung_controller@Martins-MacBook-Air 
0,11.976147949175932 
10,11.976147949175932 
20,11.976147949175932 
30,11.976147949175932 
40,11.976147949175932 
50,11.976147949175932 
60,11.976147949175932 
70,10.48165710007487 
80,9.87284966342558 
90,9.87284966342558 
100,6.508728179551122 
110,6.508728179551122 
120,6.508728179551122 
130,6.508728179551122 
140,3.9181432493137014 
149,3.9181432493137014 
