time,size_rcv,size_sent 
0,2.0234375,1.61953125 
10,2.890625,3.9203125 
20,4.3359375,4.0484375 
30,3.46875,3.91328125 
40,1.734375,3.58671875 
50,1.734375,1.9234375 
60,0.2890625,1.48984375 
70,0,0.95703125 
80,0,0.5125 
90,0,0.821875 
100,0,0.58203125 
110,0,0.15390625 
120,0,0.478125 
130,0,0.0625 
140,0,0.0125 
149,0,0.05 
