time,session 
30,32016.392456054688 
40,32006.737854003906 
50,32007.748260498047 
60,32006.192138671875 
70,32006.970458984375 
80,32006.901611328125 
90,94032.5419921875 
100,94012.62685546876 
110,94015.86633300781 
120,94012.03842773437 
130,94014.82436523438 
140,94011.70092773438 
149,94012.01397705078 
