time,tr_close,tr_online,tr_auth_plain,page,tr_offline,tr_authenticate,tr_roster 
30,0.2,0.1,0.6,2,,0.5,0.5 
40,0.8,0.5,0.6,2.4,,0.5,0.5 
50,0.8,0.4,0.2,2,,0.2,0.1 
60,0.6,0.5,0,1.6,0.1,0.3,0.4 
70,0.6,0.5,0,1.6,0.5,0,0 
80,0.2,0.1,0,0.7,0.4,0,0 
90,0.1,0.4,0,1,0.5,0,0 
100,0.5,0,0,1,0.5,0,0 
110,0.4,0,0,0.5,0.1,0,0 
120,0.5,0,0,0.9,0.4,0,0 
130,0.5,0,0,0.5,0,0,0 
140,0.1,0,0,0.1,0,0,0 
149,0.4,0,0,0.4,0,0,0 
