time,session 
30,32024.89794921875 
40,32024.89794921875 
50,32024.89794921875 
60,32024.89794921875 
70,32024.89794921875 
80,32024.89794921875 
90,94032.5419921875 
100,94032.5419921875 
110,94032.5419921875 
120,94032.5419921875 
130,94032.5419921875 
140,94032.5419921875 
149,94032.5419921875 
