time,tr_close,tr_online,tr_auth_plain,page,tr_offline,tr_authenticate,tr_roster 
30,0.656005859375,0.666015625,1.302978515625,0.346923828125,,1.41796875,0.9169921875 
40,0.533935546875,0.58203125,1.302978515625,0.346923828125,,1.41796875,0.9169921875 
50,0.533935546875,0.577880859375,1.302978515625,0.346923828125,,1.39208984375,0.9169921875 
60,0.533935546875,0.577880859375,1.302978515625,0.346923828125,0.802978515625,1.307861328125,0.9169921875 
70,0.533935546875,0.577880859375,1.302978515625,0.346923828125,0.764892578125,1.307861328125,0.9169921875 
80,0.533935546875,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
90,0.533935546875,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
100,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
110,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
120,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
130,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
140,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
149,0.510986328125,0.577880859375,1.302978515625,0.346923828125,0.497802734375,1.307861328125,0.9169921875 
