time,users_count,finish_users_count 
0,0.8,0 
10,1,0 
20,1.5,0 
30,1.1,0.2 
40,0.6,0.8 
50,0.6,0.8 
60,0.1,0.6 
70,0,0.6 
80,0,0.2 
90,0,0.1 
100,0,0.5 
110,0,0.4 
120,0,0.5 
130,0,0.5 
140,0,0.1 
149,0,0.4 
