time,freemem@tsung_controller@Martins-MacBook-Air 
0,278.80859375 
10,268.09375 
20,148.1953125 
30,63.89453125 
40,56.74609375 
50,56.74609375 
60,56.44140625 
70,56.44140625 
80,56.44140625 
90,56.44140625 
100,56.44140625 
110,56.44140625 
120,56.44140625 
130,56.44140625 
140,56.44140625 
149,56.44140625 
