time,session 
30,32007.886962890625 
40,32005.90087890625 
50,32005.84619140625 
60,32005.421875 
70,32005.421875 
80,32005.421875 
90,32005.421875 
100,32005.421875 
110,32005.421875 
120,32005.421875 
130,32005.421875 
140,32005.421875 
149,32005.421875 
