time,connected,users 
0,3,8 
10,-3,18 
20,4,33 
30,1,42 
40,-5,43 
50,2,43 
60,-2,43 
70,0,43 
80,0,43 
90,0,43 
100,0,43 
110,0,43 
120,0,43 
130,0,43 
140,0,43 
149,0,43 
