time,tr_close,tr_online,tr_auth_plain,page,tr_offline,tr_authenticate,tr_roster 
30,0.12890625,0,0.1525538156397368,10713.5367220429,,0.6871881401888237,0.16890809459543624 
40,0.3615403608815718,0.14315212142710143,1.086477373400709,14948.394150601976,,1.3604482548752508,0.34142324025631526 
50,0.4908175390949214,0.12858789319389616,0.0469970703125,14698.206290251099,,0.156982421875,0.0 
60,0.0449021337503415,0.032229151766246925,0,13905.98038985644,0,0.2019010331119303,0.10321293968295524 
70,0.10106089202612414,0.01849999649460218,0,13906.716792739993,0.02622502183067788,0,0 
80,0.044921875,0.0,0,14847.447604216393,0.33281529922382724,0,0 
90,0.0,0.018774537084843605,0,14697.974317293962,0.07427536260875219,0,0 
100,0.10996594595471071,0,0,0.07020127718489097,0.05081865546935867,0,0 
110,0.08032641646492443,0,0,0.048906821348125275,0.0,0,0 
120,0.09344912249386318,0,0,0.06346527028148977,0.03778268442515175,0,0 
130,0.049210078368656526,0,0,0.026023329318579546,0,0,0 
140,0.0,0,0,0.0,0,0,0 
149,0.034359269444267496,0,0,0.034283887885116104,0,0,0 
