time,tr_close,tr_online,tr_auth_plain,page,tr_offline,tr_authenticate,tr_roster 
30,0.913818359375,0.666015625,6.712158203125,30008.47216796875,,3.323974609375,4.511962890625 
40,1.73193359375,1.01904296875,6.712158203125,30008.47216796875,,5.26416015625,4.511962890625 
50,2.20703125,1.01904296875,6.712158203125,30008.47216796875,,5.26416015625,4.511962890625 
60,2.20703125,1.01904296875,6.712158203125,30008.47216796875,0.802978515625,5.26416015625,4.511962890625 
70,2.20703125,1.01904296875,6.712158203125,30008.47216796875,0.842041015625,5.26416015625,4.511962890625 
80,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
90,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
100,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
110,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
120,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
130,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
140,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
149,2.20703125,1.01904296875,6.712158203125,30008.47216796875,1.392822265625,5.26416015625,4.511962890625 
