time,load@tsung_controller@Martins-MacBook-Air 
0,1.609375 
10,1.609375 
20,1.609375 
30,1.609375 
40,1.609375 
50,1.609375 
60,1.609375 
70,1.609375 
80,1.609375 
90,1.609375 
100,1.609375 
110,1.609375 
120,1.609375 
130,1.609375 
140,1.609375 
149,1.609375 
