time,load@tsung_controller@Martins-MacBook-Air 
0,1.609375 
10,1.82421875 
20,1.82421875 
30,1.96875 
40,1.96875 
50,1.96875 
60,2.0234375 
70,2.0234375 
80,2.0234375 
90,2.11328125 
100,2.11328125 
110,2.11328125 
120,2.11328125 
130,2.11328125 
140,2.11328125 
149,2.11328125 
